LoanApproval|AnnualSalary|AccountBalance|u1|u2
-1.0|50000|16043.544304317948|50000|1043.5443043179473
1.0|120000|36671.17869545223|120000|671.1786954522341
1.0|90000|29524.39883917795|90000|2524.3988391779494
-1.0|80000|22555.041859642628|80000|-1444.9581403573734
1.0|210000|60651.32124973081|210000|-2348.678750269186
1.0|120000|40267.30958574427|120000|4267.309585744264
-1.0|80000|26255.151626546653|80000|2255.1516265466535
1.0|140000|42579.70224994147|140000|579.7022499414677
-1.0|70000|23076.561806495447|70000|2076.5618064954465
1.0|110000|31816.03249003722|110000|-1183.9675099627802
1.0|210000|61667.72111381003|210000|-1332.2788861899705
1.0|130000|37071.12355775031|130000|-1928.8764422496868
-1.0|50000|15946.568026395102|50000|946.568026395101
-1.0|80000|25602.96646359066|80000|1602.966463590658
1.0|100000|28695.22229478143|100000|-1304.777705218571
1.0|120000|32813.398566831944|120000|-3186.6014331680594
-1.0|70000|17746.976677792874|70000|-3253.0233222071247
1.0|160000|49561.81566804577|160000|1561.8156680457707
-1.0|90000|25974.256852936844|90000|-1025.743147063157
-1.0|70000|20248.445337240777|70000|-751.5546627592242
1.0|120000|38108.20059583505|120000|2108.20059583505
1.0|100000|25823.178309104016|100000|-4176.821690895983
-1.0|90000|26574.701558522742|90000|-425.2984414772597
-1.0|90000|26798.829524803066|90000|-201.17047519693307
1.0|140000|45347.19570663208|140000|3347.19570663208
1.0|130000|39872.291482375585|130000|872.2914823755837
1.0|190000|55848.53325221941|190000|-1151.4667477805956
-1.0|80000|23300.300531393234|80000|-699.699468606765
-1.0|90000|26680.44286677398|90000|-319.55713322601895
1.0|110000|29260.99414479096|110000|-3739.0058552090404
-1.0|90000|24885.119062839964|90000|-2114.8809371600364
1.0|170000|52978.27613284556|170000|1978.2761328455592
1.0|120000|35108.90746205576|120000|-891.0925379442432
-1.0|40000|10605.089217338658|40000|-1394.9107826613422
-1.0|90000|26972.061630017397|90000|-27.938369982603664
1.0|130000|42370.77653401088|130000|3370.7765340108836
1.0|110000|35325.58880517846|110000|2325.5888051784564
1.0|110000|29353.606293474186|110000|-3646.3937065258156
-1.0|70000|25579.1622723561|70000|4579.1622723560995
-1.0|60000|17616.135497836418|60000|-383.8645021635815
-1.0|90000|25343.91485269773|90000|-1656.0851473022685
1.0|90000|31376.91767115026|90000|4376.9176711502605
1.0|150000|43832.54514739898|150000|-1167.454852601022
