LoanApproval,AnnualSalary,AccountBalance,Gender
No,35000,7947.678089944852,Female
Yes,120000,36940.097383453845,Male
No,90000,23564.12900825603,Male
No,80000,27596.57052449955,Male
Yes,201000,59008.56783893252,Female
Yes,102000,26000.811689431423,Female
No,68000,15064.447847518619,Female
Yes,140000,45716.973278833946,Male
No,70000,22540.642140760552,Male
No,84500,21275.93141319082,Female
Yes,210000,64205.76285069791,Male
Yes,130000,38558.30554811489,Male
No,50000,18547.686315411986,Male
No,80000,25286.124484247925,Male
Yes,100000,30305.556784531713,Male
Yes,120000,31384.961643667913,Male
No,70000,20275.363974523727,Male
Yes,160000,47991.22663985578,Male
Yes,90000,27436.248144819754,Male
No,70000,17462.54522046059,Male
Yes,120000,40282.26682822133,Male
Yes,100000,30902.09404903207,Male
Yes,90000,27939.897283605693,Male
Yes,90000,29359.855744002005,Male
Yes,140000,40365.285927383185,Male
Yes,115000,35520.39231936505,Female
Yes,190000,57719.82062265501,Male
No,80000,27095.81874227355,Male
No,90000,25709.3870876195,Male
Yes,104000,31551.71714219531,Female
Yes,90000,27273.0507720554,Male
Yes,170000,51456.21674155836,Male
Yes,120000,36742.77252296447,Male
No,26500,8770.123187362487,Female
No,66000,22167.670098559647,Female
Yes,106000,30830.026966312005,Female
Yes,101000,28562.328844325482,Female
Yes,110000,33164.985364447195,Male
No,70000,23152.918739209443,Male
No,48000,13754.90962867705,Female
No,67500,21346.328812814525,Female
No,90000,24980.069720567124,Male
Yes,132000,33719.264524755396,Female
Yes,130000,37809.27613154926,Male
No,89000,26082.400989032012,Female
No,40000,12413.416218414168,Male
No,80000,23265.920540568306,Male
No,76500,21357.751888780524,Female
No,38000,6541.710908434127,Female
No,70000,21035.68777423154,Male
No,89500,23299.049595002714,Female
No,70000,23948.485374311644,Male
No,50000,18697.529832559227,Male
No,70000,19258.777552514213,Male
Yes,105000,30436.948997040847,Female
No,93500,25735.87174825085,Female
No,40000,9362.641380425,Male
Yes,90000,27694.272997558848,Male
Yes,120000,37931.47269278125,Male
Yes,80000,29060.52694898301,Male
Yes,110000,32934.65758514081,Male
No,73500,20699.246431474126,Female
No,28000,8267.920152398361,Female
Yes,100000,32177.902294325104,Male
No,35000,9901.449081146067,Female
No,70000,21993.172051965943,Male
Yes,150000,45591.09587261049,Male
Yes,109500,33029.37186212269,Female
Yes,120000,34829.14122669817,Male
Yes,153500,39227.72139261695,Female
No,70000,22713.937901304274,Male
No,70000,20007.456333538536,Male
Yes,130000,35802.23225584609,Male
No,60000,19834.384580817557,Male
Yes,138000,35350.9740944556,Female
Yes,106500,29761.822232115905,Female
No,63500,16299.75803729545,Female
No,62000,13504.97731656305,Female
Yes,120000,39864.2007813727,Male
No,33500,12065.17534288478,Female
Yes,140000,43258.33417309452,Male
No,90000,24047.098260290917,Male
Yes,150000,43752.131141963975,Male
Yes,100000,33457.19880457555,Male
Yes,130000,40490.7516058799,Male
No,70000,17281.603618986363,Male
Yes,110000,36942.31923770285,Male
Yes,90000,28586.048512673344,Male
Yes,160000,48164.77727952753,Male
