race|sex|LSAT|UGPA|ZFYA|race_nonwhite|race_simpler
White|Female|39.0|3.1|-0.98|White|White
White|Female|36.0|3.0|0.09|White|White
White|Male|30.0|3.1|-0.35|White|White
Hispanic|Male|39.0|2.2|0.58|NonWhite|Latino
White|Female|37.0|3.4|-1.26|White|White
White|Female|30.5|3.6|0.3|White|White
White|Male|36.0|3.6|-0.1|White|White
White|Male|37.0|2.7|-0.12|White|White
White|Female|37.0|2.6|1.53|White|White
White|Male|31.0|3.6|0.34|White|White
White|Male|41.0|3.2|1.53|White|White
White|Male|35.0|3.1|-0.68|White|White
White|Female|35.0|3.2|-0.17|White|White
White|Male|35.0|2.9|-0.42|White|White
White|Male|41.0|2.3|-0.35|White|White
White|Male|30.5|3.3|0.85|White|White
White|Female|36.0|3.0|0.04|White|White
White|Male|40.0|3.9|2.48|White|White
White|Male|36.0|3.4|0.27|White|White
White|Male|29.0|2.7|0.88|White|White
White|Male|37.0|3.2|0.58|White|White
White|Male|30.0|3.1|1.99|White|White
White|Male|40.0|3.1|-0.8|White|White
Asian|Male|31.0|3.1|0.51|NonWhite|Asian
White|Female|37.0|3.6|0.81|White|White
Black|Male|29.0|2.8|-1.03|NonWhite|Black
White|Male|34.0|2.8|-0.12|White|White
White|Male|35.0|3.0|-0.61|White|White
White|Male|40.0|3.4|-0.73|White|White
White|Male|36.0|2.6|-0.63|White|White
White|Male|29.0|2.9|-0.02|White|White
White|Male|35.0|2.5|0.02|White|White
White|Male|32.0|3.4|0.65|White|White
White|Female|36.0|2.7|-0.05|White|White
White|Male|36.0|3.3|0.53|White|White
White|Male|36.0|2.5|-1.1|White|White
White|Male|38.0|3.6|1.41|White|White
White|Male|36.0|3.6|1.18|White|White
White|Male|32.5|3.2|0.76|White|White
White|Female|27.0|3.5|-1.05|White|White
White|Male|36.0|2.4|0.39|White|White
Black|Female|19.0|3.2|-0.7|NonWhite|Black
White|Female|34.0|3.7|1.23|White|White
White|Female|35.0|3.1|1.71|White|White
Hispanic|Female|31.0|3.2|-0.82|NonWhite|Latino
White|Male|36.0|2.8|-0.17|White|White
Other|Male|32.0|3.0|-0.63|NonWhite|Other
White|Female|38.0|3.7|-0.05|White|White
White|Male|34.0|3.2|0.37|White|White
White|Male|38.0|2.8|0.44|White|White
White|Female|36.0|3.4|0.46|White|White
White|Female|42.0|3.5|-0.42|White|White
White|Male|29.0|2.3|-0.93|White|White
White|Male|31.0|3.7|-0.49|White|White
Black|Female|23.0|2.6|0.48|NonWhite|Black
White|Male|37.0|3.8|0.72|White|White
White|Female|33.0|3.3|-1.24|White|White
White|Male|35.0|3.3|-0.7|White|White
White|Male|36.0|3.2|0.83|White|White
White|Male|35.5|2.4|-0.63|White|White
White|Male|41.0|3.4|-0.05|White|White
White|Female|34.0|3.5|0.55|White|White
