"sex"|"race_nonwhite"|"U"|"UGPA"|"pr_UGPA"|"scf_UGPA"|"LSAT"|"pr_LSAT"|"scf_LSAT"
"2"|"Female"|"White"|-0.698605989854585|3|3.09250430361188|2.95899122679016|36|36.3052866974713|36.9000396976946
"3"|"Male"|"White"|-0.321314659267502|3.1|3.08932990802862|3.08932990802862|30|37.3582060703978|37.3582060703978
"4"|"Male"|"NonWhite"|-1.54018045322369|2.2|2.44225063747196|2.44225063747196|39|31.2826446238262|31.2826446238262
"5"|"Female"|"White"|0.122715134931961|3.4|3.37623706818771|3.24272399136599|37|37.2937630771051|37.9047092917585
"6"|"Female"|"White"|0.500207549256449|3.6|3.50664521561059|3.37313213878887|30|37.7570664040396|38.3756024511601
"7"|"Male"|"White"|0.805303419063927|3.6|3.47853024920962|3.47853024920962|36|38.760457676606|38.760457676606
"8"|"Male"|"White"|-1.0422130475196|2.7|2.84028908038622|2.84028908038622|37|36.4876687678788|36.4876687678788
"11"|"Male"|"White"|0.0274278284399662|3.2|3.20980613489787|3.20980613489787|41|37.7867617604749|37.7867617604749
"12"|"Male"|"White"|-0.240736547643281|3.1|3.11716634092371|3.11716634092371|35|37.4567914947794|37.4567914947794
"15"|"Male"|"White"|-1.86928827015439|2.3|2.554568510991|2.554568510991|41|35.5138737696426|35.5138737696426
"22"|"Male"|"White"|-0.226683449464562|3.1|3.12202110999852|3.12202110999852|30|37.4740117534612|37.4740117534612
"25"|"Female"|"White"|0.500274667488035|3.6|3.50666840220695|3.37315532538523|37|37.757149289133|38.3756866940767
"30"|"Male"|"White"|-1.28714082672066|2.6|2.75567657765509|2.75567657765509|36|36.1965414173533|36.1965414173533
"34"|"Female"|"White"|-1.40018468044925|2.7|2.85013763917032|2.7166245623486|36|35.4816982282644|36.0629592068686
"38"|"Male"|"White"|0.849609342885518|3.6|3.49383612881457|3.49383612881457|36|38.8166662555044|38.8166662555044
"42"|"Female"|"NonWhite"|0.0765446245422551|3.2|3.13427592350152|3.0007628466798|19|32.4497260891942|32.9813173174579
"46"|"Male"|"White"|-0.881780827129424|2.8|2.89571183288169|2.89571183288169|36|36.6796305765195|36.6796305765195
"47"|"Male"|"NonWhite"|0.0345426476559909|3|2.98625288625149|2.98625288625149|32|32.9360404195473|32.9360404195473
"48"|"Female"|"White"|0.821525642959544|3.7|3.61764743908111|3.48413436225939|38|38.1559578177151|38.7810285017061
"50"|"Male"|"White"|-0.874661058021731|2.8|2.89817142111229|2.89817142111229|38|36.6881729515777|36.6881729515777
