"sex"|"race_nonwhite"|"U"|"UGPA"|"pr_UGPA"|"scf_UGPA"|"LSAT"|"pr_LSAT"|"scf_LSAT"
"2"|"Female"|"White"|-0.698605989854585|3|3.09250430361188|3.09250430361188|36|36.3052866974713|36.3052866974713
"3"|"Male"|"White"|-0.321314659267502|3.1|3.08932990802862|3.08932990802862|30|37.3582060703978|37.3582060703978
"4"|"Male"|"NonWhite"|-1.54018045322369|2.2|2.44225063747196|2.66826176436438|39|31.2826446238262|35.8982114184895
"5"|"Female"|"White"|0.122715134931961|3.4|3.37623706818771|3.37623706818771|37|37.2937630771051|37.2937630771051
"6"|"Female"|"White"|0.500207549256449|3.6|3.50664521561059|3.50664521561059|30|37.7570664040396|37.7570664040396
"7"|"Male"|"White"|0.805303419063927|3.6|3.47853024920962|3.47853024920962|36|38.760457676606|38.760457676606
"8"|"Male"|"White"|-1.0422130475196|2.7|2.84028908038622|2.84028908038622|37|36.4876687678788|36.4876687678788
"11"|"Male"|"White"|0.0274278284399662|3.2|3.20980613489787|3.20980613489787|41|37.7867617604749|37.7867617604749
"12"|"Male"|"White"|-0.240736547643281|3.1|3.11716634092371|3.11716634092371|35|37.4567914947794|37.4567914947794
"15"|"Male"|"White"|-1.86928827015439|2.3|2.554568510991|2.554568510991|41|35.5138737696426|35.5138737696426
"22"|"Male"|"White"|-0.226683449464562|3.1|3.12202110999852|3.12202110999852|30|37.4740117534612|37.4740117534612
"25"|"Female"|"White"|0.500274667488035|3.6|3.50666840220695|3.50666840220695|37|37.757149289133|37.757149289133
"30"|"Male"|"White"|-1.28714082672066|2.6|2.75567657765509|2.75567657765509|36|36.1965414173533|36.1965414173533
"34"|"Female"|"White"|-1.40018468044925|2.7|2.85013763917032|2.85013763917032|36|35.4816982282644|35.4816982282644
"38"|"Male"|"White"|0.849609342885518|3.6|3.49383612881457|3.49383612881457|36|38.8166662555044|38.8166662555044
"42"|"Female"|"NonWhite"|0.0765446245422551|3.2|3.13427592350152|3.36028705039394|19|32.4497260891942|37.2374887618914
"46"|"Male"|"White"|-0.881780827129424|2.8|2.89571183288169|2.89571183288169|36|36.6796305765195|36.6796305765195
"47"|"Male"|"NonWhite"|0.0345426476559909|3|2.98625288625149|3.2122640131439|32|32.9360404195473|37.7955558580971
"48"|"Female"|"White"|0.821525642959544|3.7|3.61764743908111|3.61764743908111|38|38.1559578177151|38.1559578177151
"50"|"Male"|"White"|-0.874661058021731|2.8|2.89817142111229|2.89817142111229|38|36.6881729515777|36.6881729515777
"51"|"Female"|"White"|0.098119014193049|3.4|3.367740117209|3.367740117209|36|37.2637738443234|37.2637738443234
"54"|"Male"|"White"|0.99893075319036|3.7|3.54542055210231|3.54542055210231|31|39.006703384764|39.006703384764
"55"|"Female"|"NonWhite"|-1.17857978393859|2.6|2.70068191555801|2.92669304245043|23|31.1446032365404|35.7398028515388
"57"|"Female"|"White"|-0.0709117298955533|3.3|3.30934692741855|3.30934692741855|33|37.0583315713833|37.0583315713833
"58"|"Male"|"White"|0.177878910163149|3.3|3.26178081333055|3.26178081333055|35|37.9731597245052|37.9731597245052
"64"|"Male"|"White"|0.109615645304758|3.3|3.23819865493632|3.23819865493632|29|37.8884728178197|37.8884728178197
"66"|"Male"|"White"|-0.63618910738506|2.9|2.98055369984099|2.98055369984099|32|36.9754463192692|36.9754463192692
"69"|"Female"|"White"|0.0777633312039218|3.4|3.36070806356392|3.36070806356392|39|37.2389730746878|37.2389730746878
"70"|"Female"|"White"|-0.708326827357892|3|3.08914615292567|3.08914615292567|39|36.2937457431364|36.2937457431364
"71"|"Female"|"White"|0.893946618843424|3.8|3.64266591611852|3.64266591611852|32|38.2464431919061|38.2464431919061
"72"|"Male"|"White"|0.165028746128452|3.3|3.25734160866774|3.25734160866774|29|37.9572034553875|37.9572034553875
"73"|"Male"|"White"|-0.456442757225203|3|3.04264869206041|3.04264869206041|31|37.1934620983904|37.1934620983904
"74"|"Female"|"White"|-0.0847077636672936|3.3|3.30458096355362|3.30458096355362|36|37.0416137631495|37.0416137631495
"76"|"Male"|"White"|0.551438329934719|3.5|3.39083027243544|3.39083027243544|30|38.4399581909617|38.4399581909617
"78"|"Female"|"White"|-1.18428315800266|2.8|2.92472276061818|2.92472276061818|34|35.7331366151649|35.7331366151649
"81"|"Male"|"White"|-0.356682986895507|3|3.07711160135969|3.07711160135969|43|37.3150157350383|37.3150157350383
"84"|"Male"|"White"|-0.703207539998803|2.9|2.9574015799342|2.9574015799342|25|36.8944865973964|36.8944865973964
"86"|"Male"|"White"|0.883613122916023|3.6|3.50558304025142|3.50558304025142|42|38.8598603287846|38.8598603287846
"87"|"Male"|"White"|0.592643057639494|3.5|3.40506481596835|3.40506481596835|37|38.4917975755501|38.4917975755501
"88"|"Male"|"White"|0.589666305433754|3.5|3.40403647016389|3.40403647016389|30|38.4880502023898|38.4880502023898
"89"|"Male"|"White"|-0.20175442618228|3.1|3.13063306515296|3.13063306515296|41|37.5045785354954|37.5045785354954
"90"|"Female"|"White"|0.613756660657549|3.6|3.54587177672131|3.54587177672131|38|37.8975500872357|37.8975500872357
"95"|"Male"|"White"|-0.69405277577252|2.9|2.96056417551901|2.96056417551901|28|36.9055352892526|36.9055352892526
"96"|"Female"|"White"|-0.076732480574937|3.3|3.30733609677956|3.30733609677956|42|37.0512771609015|37.0512771609015
"101"|"Female"|"White"|-1.71674697375112|2.5|2.74077834969344|2.74077834969344|42|35.1162259458359|35.1162259458359
