"female"|"nonwhite"|"Sex"|"Race"|"resid_LSAT"|"resid_UGPA"|"scf_LSAT"|"scf_UGPA"
"1"|1|0|"Female"|"White"|1.82389880857956|-0.232222249337994|39|3.1
"2"|1|0|"Female"|"White"|-1.17610119142044|-0.332222249337994|36|3
"3"|0|0|"Male"|"White"|-7.78481251618989|-0.107056691030275|30|3.1
"4"|0|0|"Male"|"NonWhite"|5.85374561942481|-0.7880694613867|43.639|2.419
"5"|1|0|"Female"|"White"|-0.176101191420436|0.0677777506620059|37|3.4
"6"|1|0|"Female"|"White"|-7.17610119142044|0.267777750662006|30|3.6
"7"|0|0|"Male"|"White"|-1.78481251618989|0.392943308969725|36|3.6
"8"|0|0|"Male"|"White"|-0.784812516189888|-0.507056691030275|37|2.7
"9"|1|0|"Female"|"White"|-0.176101191420436|-0.732222249337994|37|2.6
"10"|0|0|"Male"|"White"|-6.78481251618989|0.392943308969725|31|3.6
"11"|0|0|"Male"|"White"|3.21518748381011|-0.00705669103027473|41|3.2
"12"|0|0|"Male"|"White"|-2.78481251618989|-0.107056691030275|35|3.1
"13"|1|0|"Female"|"White"|-2.17610119142044|-0.132222249337994|35|3.2
"14"|0|0|"Male"|"White"|-2.78481251618989|-0.307056691030275|35|2.9
"15"|0|0|"Male"|"White"|3.21518748381011|-0.907056691030275|41|2.3
"16"|0|0|"Male"|"White"|-7.78481251618989|0.0929433089697249|30|3.3
"17"|1|0|"Female"|"White"|-1.17610119142044|-0.332222249337994|36|3
"18"|0|0|"Male"|"White"|2.21518748381011|0.692943308969725|40|3.9
"19"|0|0|"Male"|"White"|-1.78481251618989|0.192943308969725|36|3.4
"20"|0|0|"Male"|"White"|-8.78481251618989|-0.507056691030275|29|2.7
"21"|0|0|"Male"|"White"|-0.784812516189888|-0.00705669103027473|37|3.2
"22"|0|0|"Male"|"White"|-7.78481251618989|-0.107056691030275|30|3.1
"23"|0|0|"Male"|"White"|2.21518748381011|-0.107056691030275|40|3.1
"24"|0|0|"Male"|"NonWhite"|-2.14625438057519|0.1119305386133|35.639|3.319
"25"|1|0|"Female"|"White"|-0.176101191420436|0.267777750662006|37|3.6
"26"|0|0|"Male"|"NonWhite"|-4.14625438057519|-0.1880694613867|33.639|3.019
"27"|0|0|"Male"|"White"|-3.78481251618989|-0.407056691030275|34|2.8
"28"|0|0|"Male"|"White"|-2.78481251618989|-0.207056691030275|35|3
"29"|0|0|"Male"|"White"|2.21518748381011|0.192943308969725|40|3.4
"30"|0|0|"Male"|"White"|-1.78481251618989|-0.607056691030275|36|2.6
"31"|0|0|"Male"|"White"|-8.78481251618989|-0.307056691030275|29|2.9
"32"|0|0|"Male"|"White"|-2.78481251618989|-0.707056691030275|35|2.5
"33"|0|0|"Male"|"White"|-5.78481251618989|0.192943308969725|32|3.4
"34"|1|0|"Female"|"White"|-1.17610119142044|-0.632222249337994|36|2.7
"35"|0|0|"Male"|"White"|-1.78481251618989|0.0929433089697249|36|3.3
"36"|0|0|"Male"|"White"|-1.78481251618989|-0.707056691030275|36|2.5
"37"|0|0|"Male"|"White"|0.215187483810112|0.392943308969725|38|3.6
"38"|0|0|"Male"|"White"|-1.78481251618989|0.392943308969725|36|3.6
"39"|0|0|"Male"|"White"|-5.78481251618989|-0.00705669103027473|32|3.2
"40"|1|0|"Female"|"White"|-10.1761011914204|0.167777750662006|27|3.5
"41"|0|0|"Male"|"White"|-1.78481251618989|-0.807056691030275|36|2.4
"42"|1|0|"Female"|"NonWhite"|-13.5375430558057|0.0867649803055808|23.639|3.419
"43"|1|0|"Female"|"White"|-3.17610119142044|0.367777750662006|34|3.7
"44"|1|0|"Female"|"White"|-2.17610119142044|-0.232222249337994|35|3.1
"45"|1|0|"Female"|"NonWhite"|-1.53754305580574|0.0867649803055808|35.639|3.419
"46"|0|0|"Male"|"White"|-1.78481251618989|-0.407056691030275|36|2.8
"47"|0|0|"Male"|"NonWhite"|-1.14625438057519|0.0119305386132997|36.639|3.219
"48"|1|0|"Female"|"White"|0.823898808579564|0.367777750662006|38|3.7
"49"|0|0|"Male"|"White"|-3.78481251618989|-0.00705669103027473|34|3.2
"50"|0|0|"Male"|"White"|0.215187483810112|-0.407056691030275|38|2.8
"51"|1|0|"Female"|"White"|-1.17610119142044|0.0677777506620059|36|3.4
"52"|1|0|"Female"|"White"|4.82389880857956|0.167777750662006|42|3.5
"53"|0|0|"Male"|"White"|-8.78481251618989|-0.907056691030275|29|2.3
"54"|0|0|"Male"|"White"|-6.78481251618989|0.492943308969725|31|3.7
"55"|1|0|"Female"|"NonWhite"|-9.53754305580574|-0.513235019694419|27.639|2.819
"56"|0|0|"Male"|"White"|-0.784812516189888|0.592943308969725|37|3.8
"57"|1|0|"Female"|"White"|-4.17610119142044|-0.0322222493379942|33|3.3
"58"|0|0|"Male"|"White"|-2.78481251618989|0.0929433089697249|35|3.3
"59"|0|0|"Male"|"White"|-1.78481251618989|-0.00705669103027473|36|3.2
"60"|0|0|"Male"|"White"|-1.78481251618989|-0.807056691030275|36|2.4
"61"|0|0|"Male"|"White"|3.21518748381011|0.192943308969725|41|3.4
"62"|1|0|"Female"|"White"|-3.17610119142044|0.167777750662006|34|3.5
"63"|1|0|"Female"|"NonWhite"|-5.53754305580574|-0.213235019694419|31.639|3.119
"64"|0|0|"Male"|"White"|-8.78481251618989|0.0929433089697249|29|3.3
"65"|1|0|"Female"|"White"|-4.17610119142044|-0.0322222493379942|33|3.3
"66"|0|0|"Male"|"White"|-5.78481251618989|-0.307056691030275|32|2.9
"67"|0|0|"Male"|"White"|1.21518748381011|-0.907056691030275|39|2.3
"68"|0|0|"Male"|"NonWhite"|-10.1462543805752|0.7119305386133|27.639|3.919
"69"|1|0|"Female"|"White"|1.82389880857956|0.0677777506620059|39|3.4
"70"|1|0|"Female"|"White"|1.82389880857956|-0.332222249337994|39|3
"71"|1|0|"Female"|"White"|-5.17610119142044|0.467777750662006|32|3.8
"72"|0|0|"Male"|"White"|-8.78481251618989|0.0929433089697249|29|3.3
"73"|0|0|"Male"|"White"|-6.78481251618989|-0.207056691030275|31|3
"74"|1|0|"Female"|"White"|-1.17610119142044|-0.0322222493379942|36|3.3
"75"|0|0|"Male"|"NonWhite"|-6.14625438057519|-0.5880694613867|31.639|2.619
"76"|0|0|"Male"|"White"|-7.78481251618989|0.292943308969725|30|3.5
"77"|0|0|"Male"|"White"|0.215187483810112|0.292943308969725|38|3.5
"78"|1|0|"Female"|"White"|-3.17610119142044|-0.532222249337994|34|2.8
"79"|0|0|"Male"|"White"|-0.784812516189888|0.492943308969725|37|3.7
"80"|1|0|"Female"|"NonWhite"|3.46245694419426|-0.413235019694419|40.639|2.919
"81"|0|0|"Male"|"White"|5.21518748381011|-0.207056691030275|43|3
"82"|0|0|"Male"|"White"|4.21518748381011|-0.307056691030275|42|2.9
"83"|0|0|"Male"|"White"|-3.78481251618989|0.192943308969725|34|3.4
"84"|0|0|"Male"|"White"|-12.7848125161899|-0.307056691030275|25|2.9
"85"|1|0|"Female"|"White"|0.823898808579564|0.0677777506620059|38|3.4
"86"|0|0|"Male"|"White"|4.21518748381011|0.392943308969725|42|3.6
"87"|0|0|"Male"|"White"|-0.784812516189888|0.292943308969725|37|3.5
"88"|0|0|"Male"|"White"|-7.78481251618989|0.292943308969725|30|3.5
"89"|0|0|"Male"|"White"|3.21518748381011|-0.107056691030275|41|3.1
"90"|1|0|"Female"|"White"|0.823898808579564|0.267777750662006|38|3.6
"91"|1|0|"Female"|"White"|4.82389880857956|-0.132222249337994|42|3.2
"92"|1|0|"Female"|"White"|-1.17610119142044|-0.0322222493379942|36|3.3
"93"|1|0|"Female"|"White"|-1.17610119142044|0.267777750662006|36|3.6
"94"|1|0|"Female"|"White"|1.82389880857956|0.167777750662006|39|3.5
"95"|0|0|"Male"|"White"|-9.78481251618989|-0.307056691030275|28|2.9
"96"|1|0|"Female"|"White"|4.82389880857956|-0.0322222493379942|42|3.3
"97"|1|0|"Female"|"White"|5.82389880857956|0.167777750662006|43|3.5
"98"|0|0|"Male"|"White"|5.21518748381011|-0.107056691030275|43|3.1
"99"|0|0|"Male"|"White"|-2.78481251618989|-0.00705669103027473|35|3.2
"100"|0|0|"Male"|"White"|2.21518748381011|0.492943308969725|40|3.7
"101"|1|0|"Female"|"White"|4.82389880857956|-0.832222249337994|42|2.5
"102"|1|0|"Female"|"White"|4.82389880857956|-0.632222249337994|42|2.7
"103"|1|0|"Female"|"White"|2.82389880857956|0.367777750662006|40|3.7
"104"|1|0|"Female"|"White"|0.823898808579564|0.167777750662006|38|3.5
"105"|0|0|"Male"|"White"|2.21518748381011|0.0929433089697249|40|3.3
"106"|1|0|"Female"|"White"|1.82389880857956|0.167777750662006|39|3.5
"107"|1|0|"Female"|"White"|-1.17610119142044|0.267777750662006|36|3.6
"108"|1|0|"Female"|"White"|0.823898808579564|0.267777750662006|38|3.6
"109"|0|0|"Male"|"White"|-1.78481251618989|-0.207056691030275|36|3
"110"|0|0|"Male"|"White"|1.21518748381011|-0.00705669103027473|39|3.2
"111"|1|0|"Female"|"White"|-0.176101191420436|0.567777750662006|37|3.9
"112"|0|0|"Male"|"White"|-5.78481251618989|-0.507056691030275|32|2.7
"113"|1|0|"Female"|"White"|3.82389880857956|0.667777750662006|41|4
"114"|0|0|"Male"|"White"|3.21518748381011|-0.207056691030275|41|3
"115"|1|0|"Female"|"White"|-1.17610119142044|-0.0322222493379942|36|3.3
"116"|0|0|"Male"|"White"|-2.78481251618989|0.592943308969725|35|3.8
"117"|1|0|"Female"|"White"|1.82389880857956|0.367777750662006|39|3.7
"118"|1|0|"Female"|"White"|-0.176101191420436|0.467777750662006|37|3.8
"119"|0|0|"Male"|"White"|-0.784812516189888|-0.107056691030275|37|3.1
"120"|0|0|"Male"|"White"|-1.78481251618989|0.592943308969725|36|3.8
"121"|0|0|"Male"|"White"|2.21518748381011|0.0929433089697249|40|3.3
"122"|1|0|"Female"|"White"|7.82389880857956|-0.0322222493379942|45|3.3
"123"|0|0|"Male"|"White"|-2.78481251618989|-0.607056691030275|35|2.6
"124"|1|0|"Female"|"White"|-0.176101191420436|0.267777750662006|37|3.6
"125"|0|0|"Male"|"White"|2.21518748381011|0.592943308969725|40|3.8
"126"|0|0|"Male"|"White"|1.21518748381011|0.192943308969725|39|3.4
"127"|0|0|"Male"|"White"|-4.78481251618989|0.692943308969725|33|3.9
"128"|0|0|"Male"|"White"|2.21518748381011|0.392943308969725|40|3.6
"129"|0|0|"Male"|"White"|0.215187483810112|0.592943308969725|38|3.8
"130"|1|0|"Female"|"White"|3.82389880857956|-0.0322222493379942|41|3.3
"131"|0|0|"Male"|"White"|-3.78481251618989|-0.307056691030275|34|2.9
"132"|0|0|"Male"|"White"|2.21518748381011|-0.107056691030275|40|3.1
"133"|1|0|"Female"|"NonWhite"|5.46245694419426|0.18676498030558|42.639|3.519
"134"|1|0|"Female"|"White"|2.82389880857956|-0.132222249337994|40|3.2
"135"|0|0|"Male"|"White"|-5.78481251618989|0.192943308969725|32|3.4
"136"|1|0|"Female"|"White"|3.82389880857956|0.0677777506620059|41|3.4
"137"|1|0|"Female"|"White"|-0.176101191420436|0.167777750662006|37|3.5
"138"|0|0|"Male"|"White"|3.21518748381011|0.0929433089697249|41|3.3
"139"|1|0|"Female"|"White"|1.82389880857956|0.267777750662006|39|3.6
"140"|0|0|"Male"|"White"|0.215187483810112|0.292943308969725|38|3.5
"141"|0|0|"Male"|"White"|4.21518748381011|-0.107056691030275|42|3.1
"142"|1|0|"Female"|"White"|-0.176101191420436|0.267777750662006|37|3.6
"143"|1|0|"Female"|"NonWhite"|-0.537543055805742|-0.31323501969442|36.639|3.019
"144"|1|0|"Female"|"White"|1.82389880857956|0.267777750662006|39|3.6
"145"|1|0|"Female"|"White"|-5.17610119142044|-0.532222249337994|32|2.8
"146"|0|0|"Male"|"White"|3.21518748381011|-0.107056691030275|41|3.1
"147"|1|0|"Female"|"White"|-1.17610119142044|0.367777750662006|36|3.7
"148"|0|0|"Male"|"White"|0.215187483810112|0.192943308969725|38|3.4
"149"|0|0|"Male"|"White"|-3.78481251618989|0.0929433089697249|34|3.3
"150"|0|0|"Male"|"White"|0.215187483810112|0.392943308969725|38|3.6
"151"|0|0|"Male"|"White"|5.21518748381011|-0.307056691030275|43|2.9
"152"|1|0|"Female"|"White"|-2.17610119142044|0.367777750662006|35|3.7
"153"|0|0|"Male"|"NonWhite"|3.85374561942481|0.6119305386133|41.639|3.819
"154"|1|0|"Female"|"White"|-0.176101191420436|0.567777750662006|37|3.9
"155"|0|0|"Male"|"White"|2.21518748381011|-0.00705669103027473|40|3.2
"156"|1|0|"Female"|"White"|7.82389880857956|-0.132222249337994|45|3.2
"157"|0|0|"Male"|"White"|2.21518748381011|0.0929433089697249|40|3.3
"158"|0|0|"Male"|"White"|2.21518748381011|0.0929433089697249|40|3.3
