LoanApproval|AnnualSalary|AccountBalance|Gender
-1.0|50796.35|13852.05|1
1.0|120000.0|36940.1|0
-1.0|90000.0|23564.13|0
-1.0|80000.0|27596.57|0
1.0|216796.35|64912.94|1
1.0|117796.35|31905.19|1
-1.0|83796.35|20968.82|1
1.0|140000.0|45716.98|0
-1.0|70000.0|22540.65|0
1.0|100296.35|27180.3|1
1.0|210000.0|64205.77|0
1.0|130000.0|38558.3|0
-1.0|50000.0|18547.69|0
-1.0|80000.0|25286.13|0
1.0|100000.0|30305.55|0
1.0|120000.0|31384.96|0
-1.0|70000.0|20275.37|0
1.0|160000.0|47991.22|0
1.0|90000.0|27436.25|0
-1.0|70000.0|17462.55|0
1.0|120000.0|40282.27|0
1.0|100000.0|30902.09|0
1.0|90000.0|27939.9|0
1.0|90000.0|29359.85|0
1.0|140000.0|40365.29|0
1.0|130796.35|41424.76|1
1.0|190000.0|57719.82|0
-1.0|80000.0|27095.82|0
-1.0|90000.0|25709.39|0
1.0|119796.35|37456.09|1
1.0|90000.0|27273.05|0
1.0|170000.0|51456.21|0
1.0|120000.0|36742.77|0
-1.0|42296.35|14674.5|1
-1.0|81796.35|28072.04|1
1.0|121796.35|36734.4|1
1.0|116796.35|34466.71|1
1.0|110000.0|33164.99|0
-1.0|70000.0|23152.92|0
-1.0|63796.35|19659.29|1
-1.0|83296.35|27250.7|1
-1.0|90000.0|24980.07|0
1.0|147796.35|39623.64|1
1.0|130000.0|37809.27|0
1.0|104796.35|31986.77|1
-1.0|40000.0|12413.42|0
-1.0|80000.0|23265.92|0
1.0|92296.35|27262.12|1
-1.0|53796.35|12446.08|1
-1.0|70000.0|21035.69|0
1.0|105296.35|29203.42|1
-1.0|70000.0|23948.49|0
-1.0|50000.0|18697.53|0
-1.0|70000.0|19258.78|0
1.0|120796.35|36341.32|1
1.0|109296.35|31640.25|1
-1.0|40000.0|9362.64|0
1.0|90000.0|27694.27|0
1.0|120000.0|37931.47|0
1.0|80000.0|29060.53|0
1.0|110000.0|32934.66|0
-1.0|89296.35|26603.62|1
-1.0|43796.35|14172.29|1
1.0|100000.0|32177.9|0
-1.0|50796.35|15805.82|1
-1.0|70000.0|21993.18|0
1.0|150000.0|45591.1|0
1.0|125296.35|38933.75|1
1.0|120000.0|34829.14|0
1.0|169296.35|45132.09|1
-1.0|70000.0|22713.94|0
-1.0|70000.0|20007.46|0
1.0|130000.0|35802.23|0
-1.0|60000.0|19834.38|0
1.0|153796.35|41255.34|1
1.0|122296.35|35666.19|1
-1.0|79296.35|22204.13|1
