u_AnnualSalary|u_AccountBalance|AnnualSalary|AccountBalance|LoanApproval|Gender
-49858.94|-1452.13|50796.35|13852.05|-1.0|1
19344.71|950.86|120000.0|36940.1|1.0|0
-10655.29|-3458.07|90000.0|23564.13|-1.0|0
-20655.29|3563.38|80000.0|27596.57|-1.0|0
116141.06|-8.85|216796.35|64912.94|1.0|1
17141.06|-3425.38|117796.35|31905.19|1.0|1
-16858.94|-4199.1|83796.35|20968.82|-1.0|1
39344.71|3749.71|140000.0|45716.98|1.0|0
-30655.29|1496.47|70000.0|22540.65|-1.0|0
-358.94|-2919.49|100296.35|27180.3|1.0|1
109344.71|1315.41|210000.0|64205.77|1.0|0
29344.71|-419.95|130000.0|38558.3|1.0|0
-50655.29|3481.54|50000.0|18547.69|-1.0|0
-20655.29|1252.94|80000.0|25286.13|-1.0|0
-655.29|294.34|100000.0|30305.55|1.0|0
19344.71|-4604.28|120000.0|31384.96|1.0|0
-30655.29|-768.81|70000.0|20275.37|-1.0|0
59344.71|45.93|160000.0|47991.22|1.0|0
-10655.29|414.05|90000.0|27436.25|1.0|0
-30655.29|-3581.63|70000.0|17462.55|-1.0|0
19344.71|4293.03|120000.0|40282.27|1.0|0
-655.29|890.88|100000.0|30902.09|1.0|0
-10655.29|917.7|90000.0|27939.9|1.0|0
-10655.29|2337.65|90000.0|29359.85|1.0|0
39344.71|-1601.98|140000.0|40365.29|1.0|0
30141.06|2208.48|130796.35|41424.76|1.0|1
89344.71|807.49|190000.0|57719.82|1.0|0
-20655.29|3062.63|80000.0|27095.82|-1.0|0
-10655.29|-1312.81|90000.0|25709.39|-1.0|0
19141.06|1527.72|119796.35|37456.09|1.0|1
-10655.29|250.85|90000.0|27273.05|1.0|0
69344.71|521.91|170000.0|51456.21|1.0|0
19344.71|753.53|120000.0|36742.77|1.0|0
-58358.94|1910.98|42296.35|14674.5|-1.0|1
-18858.94|3501.92|81796.35|28072.04|-1.0|1
21141.06|208.23|121796.35|36734.4|1.0|1
16141.06|-564.96|116796.35|34466.71|1.0|1
9344.71|164.76|110000.0|33164.99|1.0|0
-30655.29|2108.74|70000.0|23152.92|-1.0|0
-36858.94|469.39|63796.35|19659.29|-1.0|1
-17358.94|2232.23|83296.35|27250.7|-1.0|1
-10655.29|-2042.13|90000.0|24980.07|-1.0|0
47141.06|-4673.97|147796.35|39623.64|1.0|1
29344.71|-1168.98|130000.0|37809.27|1.0|0
4141.06|541.92|104796.35|31986.77|1.0|1
-60655.29|336.28|40000.0|12413.42|-1.0|0
-20655.29|-767.27|80000.0|23265.92|-1.0|0
-8358.94|-446.46|92296.35|27262.12|1.0|1
-46858.94|-3754.8|53796.35|12446.08|-1.0|1
