LSAT|UGPA|female|male|white|nonwhite|U|org_female|org_male|scf_UGPA|scf_LSAT
36|3.0|0|1|1|0|-0.7369260800733409|1|0|2.9419365526193717|36.85425099220136
30|3.1|0|1|1|0|-0.26703121870248897|0|1|3.1065238038826006|37.424839391971766
39|2.2|0|1|0|1|-1.64702789523693|0|1|2.3974297100589435|31.177706849331717
37|3.4|0|1|1|0|0.118741661695635|1|0|3.2416461540427894|37.899876621184404
30|3.6|0|1|1|0|0.502870307293998|1|0|3.3761925879536827|38.37888024719116
36|3.6|0|1|1|0|0.889392702704123|0|1|3.5115774662361114|38.866979679553154
37|2.7|0|1|1|0|-1.08768239001208|0|1|2.8190792463112517|36.43400909148755
41|3.2|0|1|1|0|-0.0406680295718816|0|1|3.1858106787751983|37.70285430105248
35|3.1|0|1|1|0|-0.20250631823061202|0|1|3.1291245532836847|37.50387807391878
41|2.3|0|1|1|0|-1.8787540848831201|0|1|2.541995314320322|35.50373133815026
30|3.1|0|1|1|0|-0.314882497018735|0|1|3.089763223984948|37.36633236889868
37|3.6|0|1|1|0|0.571084783073231|1|0|3.400085662740907|38.46457366232295
36|2.6|0|1|1|0|-1.2729691294003602|0|1|2.7541799727961593|36.21395438428824
36|2.7|0|1|1|0|-1.3464770133763702|1|0|2.7284328077080113|36.12702186100741
36|3.6|0|1|1|0|0.8317450887337099|0|1|3.4913855826781726|38.79379046117578
19|3.2|0|1|0|1|0.0646674414360509|1|0|2.9969749565023833|32.97233418596169
36|2.8|0|1|1|0|-0.8381838941776409|0|1|2.906469586150043|36.73243855712222
32|3.0|0|1|0|1|0.095040439158366|0|1|3.007613524017585|33.00509443658267
38|3.7|0|1|1|0|0.80877375164873|1|0|3.483339550385698|38.76466454390293
38|2.8|0|1|1|0|-0.867144987276952|0|1|2.896325557988322|36.69767267034672
36|3.4|0|1|1|0|0.131324456633161|1|0|3.2460534540629142|37.91547209083154
31|3.7|0|1|1|0|1.0188654883411599|0|1|3.5569271213466727|39.03186160461487
23|2.6|0|1|0|1|-1.1157270803006498|1|0|2.5835252559203443|31.72403863189334
33|3.3|0|1|1|0|-0.127359058987723|1|0|3.1554459325017286|37.5961388641896
35|3.3|0|1|1|0|0.196289241187328|0|1|3.2688082790198947|37.99609342768303
29|3.3|0|1|1|0|0.136455813914086|0|1|3.247850783762697|37.921833881257946
32|2.9|0|1|1|0|-0.6937340794882579|0|1|2.9570651552861884|36.906333490184686
39|3.4|0|1|1|0|0.141275050088198|1|0|3.2495387886767566|37.92780967998686
39|3.0|0|1|1|0|-0.729121956210784|1|0|2.9446700562191106|36.863656047553356
32|3.8|0|1|1|0|0.9614809356120471|1|0|3.5368273786699795|38.9586969860855
29|3.3|0|1|1|0|0.164015911743802|0|1|3.257504093724643|37.95602080136288
31|3.0|0|1|1|0|-0.44745976871565507|0|1|3.04332617918536|37.20470949817055
36|3.3|0|1|1|0|-0.0723741689010671|1|0|3.1747051597551867|37.66378940183055
30|3.5|0|1|1|0|0.546815564082516|0|1|3.391585029147396|38.434063913571045
34|2.8|0|1|1|0|-1.12864527953537|1|0|2.804731420989713|36.38524490843594
43|3.0|0|1|1|0|-0.37641708200600604|0|1|3.0682098744311093|37.29122939407217
25|2.9|0|1|1|0|-0.7590505111523379|0|1|2.934187161007743|36.827601015457134
42|3.6|0|1|1|0|0.889226742464146|0|1|3.511519336339485|38.86676877892517
37|3.5|0|1|1|0|0.608125652064345|0|1|3.413059745483296|38.51118583047415
30|3.5|0|1|1|0|0.584082682590641|0|1|3.404638358949427|38.48092376891862
41|3.1|0|1|1|0|-0.22192523309456896|0|1|3.1223228065894366|37.48007366096437
38|3.6|0|1|1|0|0.590684495163888|1|0|3.4069507361940214|38.48923087499213
28|2.9|0|1|1|0|-0.6938260739575141|0|1|2.9570329329358906|36.90622248170098
42|3.3|0|1|1|0|-0.0398124838502859|1|0|3.1861103456373483|37.70390897381832
