LSAT|UGPA|female|male|white|nonwhite|U|org_nonwhite|org_white|scf_UGPA|scf_LSAT
36|3.0|1|0|1|0|-0.7369260800733409|0|1|3.0749826488832315|36.26028246513498
30|3.1|0|1|1|0|-0.26703121870248897|0|1|3.1065238038826006|37.424839391971766
39|2.2|0|1|1|0|-1.64702789523693|1|0|2.6231606551974336|35.77374738841259
37|3.4|1|0|1|0|0.118741661695635|0|1|3.374692250306649|37.28905607032188
30|3.6|1|0|1|0|0.502870307293998|0|1|3.5092386842175425|37.76033974352702
36|3.6|0|1|1|0|0.889392702704123|0|1|3.5115774662361114|38.866979679553154
37|2.7|0|1|1|0|-1.08768239001208|0|1|2.8190792463112517|36.43400909148755
41|3.2|0|1|1|0|-0.0406680295718816|0|1|3.1858106787751983|37.70285430105248
35|3.1|0|1|1|0|-0.20250631823061202|0|1|3.1291245532836847|37.50387807391878
41|2.3|0|1|1|0|-1.8787540848831201|0|1|2.541995314320322|35.50373133815026
30|3.1|0|1|1|0|-0.314882497018735|0|1|3.089763223984948|37.36633236889868
37|3.6|1|0|1|0|0.571084783073231|0|1|3.5331317590047666|37.844652064478495
36|2.6|0|1|1|0|-1.2729691294003602|0|1|2.7541799727961593|36.21395438428824
36|2.7|1|0|1|0|-1.3464770133763702|0|1|2.861478903971871|35.54477386018335
36|3.6|0|1|1|0|0.8317450887337099|0|1|3.4913855826781726|38.79379046117578
19|3.2|1|0|1|0|0.0646674414360509|1|0|3.355751997904733|37.22318692966008
36|2.8|0|1|1|0|-0.8381838941776409|0|1|2.906469586150043|36.73243855712222
32|3.0|0|1|1|0|0.095040439158366|1|0|3.233344469156075|37.87051807918061
38|3.7|1|0|1|0|0.80877375164873|0|1|3.6163856466495576|38.1399064744407
38|2.8|0|1|1|0|-0.867144987276952|0|1|2.896325557988322|36.69767267034672
36|3.4|1|0|1|0|0.131324456633161|0|1|3.379099550326774|37.30440019262411
31|3.7|0|1|1|0|1.0188654883411599|0|1|3.5569271213466727|39.03186160461487
23|2.6|1|0|1|0|-1.1157270803006498|1|0|2.942302297322694|35.813958863169944
33|3.3|1|0|1|0|-0.127359058987723|0|1|3.2884920287655883|36.990213560504245
35|3.3|0|1|1|0|0.196289241187328|0|1|3.2688082790198947|37.99609342768303
29|3.3|0|1|1|0|0.136455813914086|0|1|3.247850783762697|37.921833881257946
32|2.9|0|1|1|0|-0.6937340794882579|0|1|2.9570651552861884|36.906333490184686
39|3.4|1|0|1|0|0.141275050088198|0|1|3.3825848849406164|37.31653894068347
39|3.0|1|0|1|0|-0.729121956210784|0|1|3.0777161524829704|36.269535942128336
32|3.8|1|0|1|0|0.9614809356120471|0|1|3.6698734749338393|38.330811755962465
29|3.3|0|1|1|0|0.164015911743802|0|1|3.257504093724643|37.95602080136288
31|3.0|0|1|1|0|-0.44745976871565507|0|1|3.04332617918536|37.20470949817055
36|3.3|1|0|1|0|-0.0723741689010671|0|1|3.3077512560190465|37.05677379542255
30|3.5|0|1|1|0|0.546815564082516|0|1|3.391585029147396|38.434063913571045
34|2.8|1|0|1|0|-1.12864527953537|0|1|2.937777517253573|35.79883520688518
43|3.0|0|1|1|0|-0.37641708200600604|0|1|3.0682098744311093|37.29122939407217
25|2.9|0|1|1|0|-0.7590505111523379|0|1|2.934187161007743|36.827601015457134
42|3.6|0|1|1|0|0.889226742464146|0|1|3.511519336339485|38.86676877892517
37|3.5|0|1|1|0|0.608125652064345|0|1|3.413059745483296|38.51118583047415
30|3.5|0|1|1|0|0.584082682590641|0|1|3.404638358949427|38.48092376891862
41|3.1|0|1|1|0|-0.22192523309456896|0|1|3.1223228065894366|37.48007366096437
38|3.6|1|0|1|0|0.590684495163888|0|1|3.539996832457881|37.868911884502424
28|2.9|0|1|1|0|-0.6938260739575141|0|1|2.9570329329358906|36.90622248170098
42|3.3|1|0|1|0|-0.0398124838502859|0|1|3.319156441901208|37.09624677271803
42|2.5|1|0|1|0|-1.7298276969019|0|1|2.727204962164384|35.10203533313836
42|2.7|1|0|1|0|-1.3129727800320201|0|1|2.8732142305845967|35.58373283681854
40|3.7|1|0|1|0|0.7486254973400459|0|1|3.5953178788172657|38.064974033194176
38|3.5|1|0|1|0|0.372102079528541|0|1|3.463435282372094|37.599236519260664
38|3.6|1|0|1|0|0.545668869559781|0|1|3.524229479606948|37.81321630131564
36|3.0|0|1|1|0|-0.44892777161699|0|1|3.0428119906248123|37.20292379770038
32|2.7|0|1|1|0|-1.1078887835395101|0|1|2.8120016741945437|36.40994627169167
36|3.3|1|0|1|0|-0.0811075414195914|0|1|3.304692270072939|37.04619388985439
39|3.7|1|0|1|0|0.848002537589196|0|1|3.6301260779228404|38.18885698693665
37|3.8|1|0|1|0|0.9779689618420211|0|1|3.6756486368669377|38.35148116014096
40|3.3|0|1|1|0|0.233689988912232|0|1|3.281908414325212|38.042585510401345
45|3.3|1|0|1|0|-0.0202512986663414|0|1|3.3260080207660714|37.11998007817992
37|3.6|1|0|1|0|0.526965910727382|0|1|3.5176785065323894|37.79010015900599
38|3.8|0|1|1|0|1.28920589031541|0|1|3.6516176304885084|39.3783950937924
34|2.9|0|1|1|0|-0.714238357900809|0|1|2.9498832448196377|36.881599508960484
40|3.2|1|0|1|0|-0.258094390266365|0|1|3.2427001493750254|36.832435670094455
41|3.4|1|0|1|0|0.150090170775068|0|1|3.3856725043267337|37.32729582283016
38|3.5|0|1|1|0|0.658211654552994|0|1|3.4306030687967723|38.57430381421352
32|2.8|1|0|1|0|-0.623909930731605|1|0|3.1145681368246088|36.39451832105058
39|3.6|1|0|1|0|0.6041919758159471|0|1|3.5447280165902804|37.885640010415884
32|2.8|1|0|1|0|-1.17100266764447|0|1|2.9229412492866746|35.74929114878718
41|3.1|0|1|1|0|-0.17082373636038697|0|1|3.140221820974014|37.54274819633016
34|3.3|0|1|1|0|0.146196525831268|0|1|3.2512626044306625|37.93391322649076
38|3.6|0|1|1|0|0.871801632941087|0|1|3.5054159478687232|38.84463148928399
35|3.7|1|0|1|0|0.747840709298707|0|1|3.5950429958228627|38.063997321142764
40|3.2|0|1|1|0|0.0421459932096584|0|1|3.2148174492172075|37.80508007657875
38|3.4|1|0|1|0|0.15731340750157|0|1|3.3882025440776906|37.33611247820398
40|3.4|0|1|1|0|0.457879077335358|0|1|3.360433780018986|38.3224651971273
36|3.7|0|1|1|0|1.05315567696953|0|1|3.568937739796886|39.075646752484666
31|3.4|1|0|1|0|0.6195312880261121|1|0|3.550100825361958|37.90464569993456
28|3.2|1|0|1|0|-0.35524455793603493|0|1|3.208671943554972|36.715626045211955
39|2.4|0|1|1|0|-1.6886576680954701|0|1|2.608579244654848|35.72508794355875
41|3.9|1|0|1|0|1.23623822121054|0|1|3.766111059378314|38.6767062353904
29|3.5|0|1|1|0|0.584266788498365|0|1|3.404702844620126|38.48115540634161
36|3.1|0|1|1|0|-0.206910078305507|0|1|3.127582074687866|37.49847845928056
36|3.0|0|1|1|0|-0.444684338658285|0|1|3.044298312404445|37.208085806608786
36|2.9|0|1|1|0|-0.6942794181362409|0|1|2.9568741427928464|36.90567544227968
32|3.1|0|1|1|0|-0.25202757604465303|0|1|3.111779039695959|37.443202973558776
32|3.7|1|0|1|0|1.28926925978869|1|0|3.7846859227972254|38.743825993771694
31|3.0|1|0|1|0|-0.744219500942266|0|1|3.0724280261541805|36.251636671186574
35|3.2|0|1|1|0|-0.0363545900192904|0|1|3.1873215213440655|37.708171988100055
33|3.0|0|1|1|0|-0.47467105280408295|0|1|3.033795046117866|37.17162321543743
29|3.1|1|0|1|0|-0.0885169332471737|1|0|3.3020970268926315|37.037220268161796
34|2.7|1|0|1|0|-1.3784999629436498|0|1|2.8502624177322824|35.5075771995217
30|3.0|1|0|1|0|-0.7552367609474699|0|1|3.068569076653395|36.23858045890042
34|2.9|0|1|1|0|-0.670130772032672|0|1|2.965332544045245|36.93482631838832
38|2.4|1|0|1|0|-1.98520488736646|0|1|2.6377555272604436|34.81016044452433
29|3.4|1|0|1|0|0.0378514437039913|0|1|3.346359319415497|37.19056487268281
32|3.1|1|0|1|0|-0.5913683246278921|0|1|3.125966289774559|36.43326194352779
38|3.0|1|0|1|0|-0.7235734583393821|0|1|3.079659591512352|36.27611632283743
34|2.6|0|1|1|0|-1.27961505511153|0|1|2.7518521443076547|36.206086128820424
31|3.0|1|0|1|0|-0.7477386142169179|0|1|3.071195407480571|36.24746576824426
35|2.7|1|0|1|0|-1.32233442712448|0|1|2.869935182676413|35.57284274579921
36|2.6|1|0|1|0|-1.58638201716038|0|1|2.777448818982408|35.2670539014752
37|3.4|0|1|1|0|0.437095919206623|0|1|3.3531541880289852|38.29643295137477
33|3.2|1|0|1|0|-0.29134053485768197|0|1|3.231055221959941|36.79242001683159
37|2.9|1|0|1|0|-0.9297489229704592|0|1|3.0074437496481723|36.03239755084895
26|2.8|0|1|1|0|-0.8969004227819599|0|1|2.88590330028237|36.661987498233394
38|2.6|0|1|1|0|-1.2798422467251698|0|1|2.7517725672654842|36.20581718196728
41|3.0|1|0|1|0|-0.6764416608300211|0|1|3.0961681631884286|36.332061630167274
35|3.2|0|1|1|0|-0.0439395519690729|0|1|3.1846647822713954|37.698821608581994
32|3.5|0|1|1|0|0.5854724596710921|0|1|3.4051251478214586|38.48267238595516
35|3.7|1|0|1|0|0.742424194914192|0|1|3.593145785856841|38.05725685327198
39|3.1|0|1|1|0|-0.163547798669988|0|1|3.142770319975113|37.55168044683953
40|2.6|1|0|1|0|-1.53200823545904|0|1|2.796493996971591|35.32980755664483
40|3.8|0|1|1|0|1.26220316784545|0|1|3.642159549046654|39.343644032871666
32|3.3|0|1|1|0|0.18653878983223002|0|1|3.265393046977498|37.9839821866934
39|3.3|0|1|1|0|0.204488552827795|0|1|3.2716802026694065|38.006280954364925
39|2.7|1|0|1|0|-1.35728212444379|0|1|2.8576942626055186|35.532218693510494
33|3.0|0|1|1|0|-0.47057400796534704|0|1|3.0352300934098126|37.1766029424532
40|3.2|0|1|1|0|0.0093482096893404|0|1|3.203329566541948|37.76456132807573
42|3.3|0|1|1|0|0.761677551780765|1|0|3.4668434472817005|38.70501848305889
36|3.1|0|1|1|0|-0.246983478631472|0|1|3.1135458054058827|37.44937867758327
41|3.7|1|0|1|0|0.7723167483536201|0|1|3.603616071038257|38.09447090432295
36|3.9|1|0|1|0|1.1972444473705801|0|1|3.7524529443821724|38.627427207281926
42|3.5|1|0|1|0|0.40215451457247103|0|1|3.4739615683229923|37.636199440098544
46|3.3|0|1|1|0|0.29292864354235804|0|1|3.302657582140455|38.116340272884294
40|2.2|0|1|1|0|-2.06811252427021|0|1|2.475669870898163|35.28459765056109
41|3.8|1|0|1|0|1.01416848677634|0|1|3.688328027079022|38.396900022549346
41|3.4|1|0|1|0|0.7288154215118771|1|0|3.5883791225210966|38.04032696658375
32|2.8|0|1|1|0|-0.381072212959086|1|0|3.06657934966733|37.28555395119035
