k|ST|CSTwo|CSTwi|CF|ST_sig|CSTwo_sig|CSTwi_sig|CF_sig|ST_delta|CSTwo_delta|CSTwi_delta|ST_delta_sig|CSTwo_delta_sig|CSTwi_delta_sig
1|3|115|118|113|3|115|110|110|1.0|1.0|0.9661016949152542|1.0|1.0|1.0
15|14|130|130|113|14|130|130|113|0.44761904761904764|0.9112820512820514|0.9086538461538461|0.44761904761904764|0.9112820512820514|0.9086538461538461
30|14|138|138|113|14|138|138|113|0.5952380952380951|0.8676328502415463|0.8660589060308553|0.5952380952380951|0.8676328502415463|0.8660589060308553
50|17|148|148|113|13|148|148|113|0.47764705882352937|0.8139189189189187|0.8129305776364599|0.5969230769230769|0.8139189189189187|0.8129305776364599
60|21|153|153|113|16|153|153|113|0.4063492063492062|0.7627450980392155|0.7623486553091178|0.5135416666666665|0.7627450980392155|0.7623486553091178
70|24|153|153|113|20|153|153|113|0.38273809523809527|0.7324929971988788|0.73257847740035|0.4535714285714286|0.7324929971988788|0.73257847740035
80|24|158|158|113|23|158|158|113|0.4177083333333333|0.6896360759493669|0.6899515549304578|0.4331521739130434|0.6896360759493669|0.6899515549304578
90|24|158|158|113|23|158|158|113|0.43379629629629624|0.6907876230661039|0.6910557796633744|0.4502415458937197|0.6907876230661039|0.6910557796633744
100|24|160|160|113|23|160|160|113|0.4433333333333335|0.6809375000000001|0.681188118811881|0.4604347826086958|0.6809375000000001|0.681188118811881
110|26|162|162|113|23|162|162|113|0.4181818181818181|0.6750280583613917|0.6752307863418973|0.46679841897233193|0.6750280583613917|0.6752307863418973
120|26|170|170|113|23|170|170|113|0.42307692307692313|0.6425000000000002|0.6426835196888674|0.47210144927536246|0.6425000000000002|0.6426835196888674
130|26|171|171|113|23|171|171|113|0.4248520710059171|0.6330184435447594|0.6332306593455649|0.47458193979933105|0.6330184435447594|0.6332306593455649
140|26|177|177|113|23|174|174|113|0.4115384615384616|0.6019370460048427|0.6021957767359861|0.46055900621118007|0.6120689655172413|0.6123339039700011
150|26|180|180|113|23|180|180|113|0.4048717948717949|0.5864444444444443|0.5867181751287712|0.45333333333333337|0.5864444444444443|0.5867181751287712
160|26|185|185|113|23|185|185|113|0.39687499999999987|0.5682432432432432|0.5685076380728559|0.44456521739130417|0.5682432432432432|0.5685076380728559
170|26|190|190|113|23|190|190|113|0.3904977375565611|0.5488854489164089|0.5491535857186828|0.43759590792838876|0.5488854489164089|0.5491535857186828
180|26|190|190|113|23|190|190|113|0.38461538461538475|0.5473976608187132|0.5476592032567607|0.431400966183575|0.5473976608187132|0.5476592032567607
190|29|190|190|113|23|190|190|113|0.3382940108892921|0.5425761772853183|0.5428492697712869|0.42219679633867274|0.5425761772853183|0.5428492697712869
200|29|190|190|113|24|190|190|113|0.33879310344827596|0.5341578947368422|0.534459282534695|0.40458333333333346|0.5341578947368422|0.534459282534695
210|29|194|194|113|26|194|194|113|0.34499178981937595|0.5105792832596955|0.5109200175892904|0.3826007326007325|0.5105792832596955|0.5109200175892904
220|29|199|199|113|26|194|194|113|0.34717868338557994|0.48869346733668373|0.4890515928056574|0.384965034965035|0.501171508903468|0.5015393945048282
230|29|199|199|113|26|199|199|113|0.3458770614692654|0.48182215424950847|0.4821945223955276|0.3836120401337793|0.48182215424950847|0.4821945223955276
