k|ST|CSTwo|CSTwi|CF|ST_sig|CSTwo_sig|CSTwi_sig|CF_sig
1|0.16|6.27|6.44|6.16|0.16|6.27|6.0|6.0
15|0.76|7.09|7.09|6.16|0.76|7.09|7.09|6.16
30|0.76|7.53|7.53|6.16|0.76|7.53|7.53|6.16
50|0.93|8.07|8.07|6.16|0.71|8.07|8.07|6.16
60|1.15|8.35|8.35|6.16|0.87|8.35|8.35|6.16
70|1.31|8.35|8.35|6.16|1.09|8.35|8.35|6.16
80|1.31|8.62|8.62|6.16|1.25|8.62|8.62|6.16
90|1.31|8.62|8.62|6.16|1.25|8.62|8.62|6.16
100|1.31|8.73|8.73|6.16|1.25|8.73|8.73|6.16
110|1.42|8.84|8.84|6.16|1.25|8.84|8.84|6.16
120|1.42|9.27|9.27|6.16|1.25|9.27|9.27|6.16
130|1.42|9.33|9.33|6.16|1.25|9.33|9.33|6.16
140|1.42|9.66|9.66|6.16|1.25|9.49|9.49|6.16
150|1.42|9.82|9.82|6.16|1.25|9.82|9.82|6.16
160|1.42|10.09|10.09|6.16|1.25|10.09|10.09|6.16
170|1.42|10.37|10.37|6.16|1.25|10.37|10.37|6.16
180|1.42|10.37|10.37|6.16|1.25|10.37|10.37|6.16
190|1.58|10.37|10.37|6.16|1.25|10.37|10.37|6.16
200|1.58|10.37|10.37|6.16|1.31|10.37|10.37|6.16
210|1.58|10.58|10.58|6.16|1.42|10.58|10.58|6.16
220|1.58|10.86|10.86|6.16|1.42|10.58|10.58|6.16
230|1.58|10.86|10.86|6.16|1.42|10.86|10.86|6.16
240|1.58|10.86|10.86|6.16|1.42|10.86|10.86|6.16
250|1.58|10.86|10.86|6.16|1.42|10.86|10.86|6.16
260|1.58|11.02|11.02|6.16|1.42|11.02|11.02|6.16
270|1.58|11.02|11.02|6.16|1.42|11.02|11.02|6.16
280|1.69|11.13|11.13|6.16|1.53|11.13|11.13|6.16
290|1.69|11.29|11.29|6.16|1.53|11.29|11.29|6.16
300|1.69|11.29|11.29|6.16|1.53|11.29|11.29|6.16
310|1.91|11.57|11.57|6.16|1.53|11.57|11.57|6.16
320|1.85|11.57|11.57|6.16|1.53|11.57|11.57|6.16
330|1.91|11.57|11.57|6.16|1.53|11.57|11.57|6.16
340|2.07|11.57|11.57|6.16|1.53|11.57|11.57|6.16
350|2.13|11.57|11.57|6.16|1.75|11.57|11.57|6.16
360|2.35|11.57|11.57|6.16|1.91|11.57|11.57|6.16
370|2.35|11.62|11.62|6.16|1.91|11.57|11.57|6.16
380|2.35|11.62|11.62|6.16|1.91|11.62|11.62|6.16
390|2.45|11.62|11.62|6.16|2.18|11.62|11.62|6.16
400|2.45|11.62|11.62|6.16|2.18|11.62|11.62|6.16
410|2.45|11.73|11.73|6.16|2.18|11.62|11.62|6.16
420|2.45|11.73|11.73|6.16|2.18|11.73|11.73|6.16
430|2.45|11.73|11.73|6.16|2.18|11.73|11.73|6.16
440|2.45|11.73|11.73|6.16|2.18|11.73|11.73|6.16
450|2.45|11.73|11.73|6.16|2.29|11.73|11.73|6.16
460|2.45|12.06|12.06|6.16|2.35|11.62|11.62|6.16
470|2.45|12.6|12.6|6.16|2.35|11.95|11.95|6.16
480|2.51|12.6|12.6|6.16|2.35|11.95|11.95|6.16
490|2.51|12.71|12.71|6.16|2.35|12.06|12.06|6.16
500|2.56|12.71|12.71|6.16|2.35|12.6|12.6|6.16
