k|ST|CSTwo|CSTwi|CF|ST_sig|CSTwo_sig|CSTwi_sig|CF_sig|ST_delta|CSTwo_delta|CSTwi_delta|ST_delta_sig|CSTwo_delta_sig|CSTwi_delta_sig
1|0|0|56|56|0|0|0|0|||0.5|||
15|77|78|99|56|57|43|54|20|0.35151515151515145|0.2914529914529914|0.24116161616161616|0.42339181286549715|0.41085271317829486|0.35532407407407407
30|101|120|129|56|69|88|92|15|0.27128712871287125|0.33555555555555594|0.30782695673918475|0.3483091787439614|0.42954545454545473|0.40988779803646574
50|229|253|267|56|111|160|160|30|0.13938864628820968|0.20822134387351798|0.19747374605272838|0.20576576576576566|0.2881249999999999|0.28615196078431343
60|241|301|300|56|180|209|209|37|0.17773167358229588|0.20570321151716503|0.20601092896174888|0.22148148148148145|0.2655502392344496|0.2640991450309831
70|271|289|292|56|190|249|249|52|0.1648919346336321|0.21932773109243694|0.2166698823075442|0.2135338345864661|0.24457831325301188|0.24407489111375102
80|317|318|322|56|180|212|212|17|0.13797318611987391|0.2040094339622642|0.20109654167625152|0.19722222222222247|0.27128537735849045|0.2689261588632653
90|298|315|319|56|200|219|219|17|0.13049962714392255|0.21216931216931234|0.20913569189431297|0.16844444444444448|0.2833079654997464|0.28104771940388396
100|258|296|296|56|124|221|221|21|0.12201550387596895|0.21249999999999972|0.21160021407546106|0.1936290322580644|0.2709954751131218|0.26925316966085694
110|231|320|320|56|100|236|236|36|0.128650137741047|0.18599431818181822|0.18533220720720728|0.2213636363636365|0.23983050847457607|0.23904412887463725
120|250|314|314|56|136|251|251|36|0.11899999999999991|0.16624203821656078|0.1658156551034374|0.18529411764705883|0.19525232403718498|0.19482400974613936
130|300|314|323|56|124|243|243|32|0.097948717948718|0.15404213620774151|0.1499302814737788|0.19218362282878398|0.1870212092434317|0.18659881255301108
140|248|318|322|56|140|234|234|32|0.12623847926267287|0.1560871518418685|0.15428835734108584|0.19454081632653053|0.1935897435897432|0.1931866399951503
150|249|311|311|56|153|231|231|32|0.13060240963855427|0.15322615219721344|0.1533187112710546|0.1914596949891067|0.1903318903318905|0.18998881912789206
160|235|352|352|56|156|250|250|43|0.13912234042553195|0.13874289772727286|0.13878105590062106|0.1917067307692307|0.18035|0.18029813664596267
170|253|355|355|56|176|258|258|26|0.12929551267147174|0.13396851698425885|0.13410756939296606|0.1755013368983957|0.17017783857729168|0.16977197515753203
180|293|353|353|56|155|271|271|26|0.10944254835039834|0.12943028013849547|0.12945080055718144|0.17602150537634423|0.15838458384583853|0.1580395914456382
190|328|375|375|56|173|272|272|26|0.09821887034659833|0.12419649122807007|0.12420244328097728|0.1604806814724673|0.1588815789473682|0.15855020018478583
200|368|449|449|56|196|333|333|43|0.08652173913043458|0.11376391982182618|0.11371871156467105|0.14173469387755078|0.14352852852852846|0.14345688972554638
210|417|433|433|56|190|333|333|43|0.07416923603973992|0.11840976575387697|0.1183630134737257|0.1313032581453635|0.1444587444587447|0.14438609225339089
220|422|451|451|56|210|348|348|43|0.07654028436018949|0.1168111267889538|0.11675412105828195|0.12136363636363634|0.14143155694879841|0.14135070473812875
230|483|471|471|56|268|345|345|32|0.07671257538932397|0.11178805501707734|0.11173610536667863|0.11659636599610652|0.14055450535601768|0.14034757513018375
240|484|493|493|56|293|327|327|32|0.08412534435261715|0.10685429344151474|0.10677282788920417|0.11632536973833903|0.14663608562691147|0.14643369243848897
250|484|493|493|56|366|341|341|32|0.09112396694214858|0.1109695740365108|0.1108749585835161|0.11018579234972666|0.14741348973606996|0.14720005608066303
260|480|500|504|56|355|359|359|32|0.09595352564102569|0.11209999999999991|0.11120993735936256|0.1191765980498375|0.14665738161559871|0.14643699505864527
270|480|504|504|56|355|351|351|32|0.0977160493827161|0.1134994121105232|0.11349059919170613|0.12242044861763172|0.1508599767859026|0.15063971152532024
280|496|504|504|56|350|379|379|32|0.09546370967741925|0.11516439909297076|0.11514997458057967|0.12345918367346921|0.14386543535620067|0.14365393102282661
290|488|502|506|56|355|388|388|41|0.09636093838326766|0.11583321884874292|0.11490295152330145|0.12175813501699886|0.14237468894418767|0.1422485563467604
300|484|514|514|56|374|372|372|41|0.09541322314049584|0.10951361867704285|0.10948589009398|0.11591800356506252|0.14158602150537636|0.14148179902118393
310|470|511|511|56|339|383|383|52|0.09390528483184596|0.10229152199987351|0.1022898169530773|0.11979255875915876|0.12915017266065837|0.1291714590346981
320|452|540|540|56|360|374|374|43|0.09591399336283155|0.09277199074074076|0.09278296988577343|0.11455729166666641|0.12522560160427812|0.12519366285171663
330|459|533|533|56|356|397|397|43|0.09188618208226042|0.09426914548865782|0.09427909059476391|0.11247020769492677|0.12005190443477609|0.12001643748049962
