k|ST|CSTwo|CSTwi|CF|ST_sig|CSTwo_sig|CSTwi_sig|CF_sig
1|0.0|0.0|0.59|0.59|0.0|0.0|0.0|0.0
15|0.81|0.82|1.04|0.59|0.6|0.45|0.57|0.21
30|1.06|1.26|1.35|0.59|0.72|0.92|0.96|0.16
50|2.4|2.65|2.8|0.59|1.16|1.68|1.68|0.31
60|2.53|3.16|3.15|0.59|1.89|2.19|2.19|0.39
70|2.84|3.03|3.06|0.59|1.99|2.61|2.61|0.55
80|3.32|3.33|3.38|0.59|1.89|2.22|2.22|0.18
90|3.12|3.3|3.34|0.59|2.1|2.3|2.3|0.18
100|2.71|3.1|3.1|0.59|1.3|2.32|2.32|0.22
110|2.42|3.36|3.36|0.59|1.05|2.47|2.47|0.38
120|2.62|3.29|3.29|0.59|1.43|2.63|2.63|0.38
130|3.15|3.29|3.39|0.59|1.3|2.55|2.55|0.34
140|2.6|3.33|3.38|0.59|1.47|2.45|2.45|0.34
150|2.61|3.26|3.26|0.59|1.6|2.42|2.42|0.34
160|2.46|3.69|3.69|0.59|1.64|2.62|2.62|0.45
170|2.65|3.72|3.72|0.59|1.85|2.71|2.71|0.27
180|3.07|3.7|3.7|0.59|1.63|2.84|2.84|0.27
190|3.44|3.93|3.93|0.59|1.81|2.85|2.85|0.27
200|3.86|4.71|4.71|0.59|2.06|3.49|3.49|0.45
210|4.37|4.54|4.54|0.59|1.99|3.49|3.49|0.45
220|4.42|4.73|4.73|0.59|2.2|3.65|3.65|0.45
230|5.06|4.94|4.94|0.59|2.81|3.62|3.62|0.34
240|5.07|5.17|5.17|0.59|3.07|3.43|3.43|0.34
250|5.07|5.17|5.17|0.59|3.84|3.58|3.58|0.34
260|5.03|5.24|5.28|0.59|3.72|3.76|3.76|0.34
270|5.03|5.28|5.28|0.59|3.72|3.68|3.68|0.34
280|5.2|5.28|5.28|0.59|3.67|3.97|3.97|0.34
290|5.12|5.26|5.31|0.59|3.72|4.07|4.07|0.43
300|5.07|5.39|5.39|0.59|3.92|3.9|3.9|0.43
310|4.93|5.36|5.36|0.59|3.55|4.02|4.02|0.55
320|4.74|5.66|5.66|0.59|3.77|3.92|3.92|0.45
330|4.81|5.59|5.59|0.59|3.73|4.16|4.16|0.45
340|5.26|5.7|5.7|0.59|3.67|3.84|3.84|0.45
350|5.14|5.37|5.37|0.59|3.63|3.89|3.89|0.45
360|4.96|5.46|5.46|0.59|3.74|3.89|3.89|0.45
370|4.69|5.18|5.18|0.59|2.96|4.25|4.25|0.45
380|4.05|5.31|5.31|0.59|2.9|3.97|3.97|0.45
390|4.53|5.4|5.4|0.59|2.67|4.22|4.22|0.45
400|4.53|5.53|5.53|0.59|3.05|4.22|4.22|0.45
410|4.77|5.68|5.68|0.59|3.05|3.84|3.84|0.45
420|4.67|5.69|5.69|0.59|3.23|3.89|3.89|0.45
430|4.57|5.82|5.82|0.59|3.23|3.82|3.82|0.45
440|4.56|5.93|5.93|0.59|3.41|3.93|3.93|0.45
450|4.38|5.95|5.95|0.59|3.41|3.93|3.93|0.45
460|4.37|6.23|6.23|0.59|3.41|4.81|4.81|0.45
470|4.42|6.33|6.33|0.59|3.29|4.7|4.7|0.49
480|4.5|6.33|6.33|0.59|3.29|4.82|4.82|0.49
490|4.87|6.34|6.34|0.59|3.48|4.9|5.01|0.49
500|5.16|6.34|6.34|0.59|3.48|4.99|5.11|0.59
