k|ST|CSTwo|CSTwi|CF|ST_sig|CSTwo_sig|CSTwi_sig|CF_sig|ST_delta|CSTwo_delta|CSTwi_delta|ST_delta_sig|CSTwo_delta_sig|CSTwi_delta_sig
1|0|0|5|5|0|0|0|0|||0.65|||
15|5|8|9|5|0|4|4|0|0.21999999999999997|0.4666666666666667|0.4513888888888889||0.45833333333333337|0.4296875
30|5|10|10|5|0|6|9|3|0.22333333333333333|0.5433333333333333|0.5354838709677419||0.6055555555555555|0.5627240143369175
50|12|20|21|5|5|11|11|1|0.20833333333333337|0.43200000000000005|0.4271708683473389|0.324|0.4636363636363638|0.4563279857397504
60|13|22|22|5|6|16|16|4|0.2538461538461539|0.40984848484848496|0.4083457526080476|0.34583333333333327|0.4239583333333334|0.4216188524590163
70|19|21|21|5|7|17|18|5|0.2075187969924812|0.4078231292517006|0.40677397719651237|0.3714285714285714|0.41638655462184876|0.41118935837245707
80|24|23|23|5|5|14|14|1|0.19973958333333333|0.40625|0.4052603327965648|0.38375|0.4388392857142857|0.43474426807760136
90|17|23|23|5|10|17|17|1|0.22516339869281043|0.41352657004830917|0.41256569517439085|0.3127777777777777|0.4362745098039215|0.43341952165481573
100|19|20|20|5|5|17|17|1|0.1994736842105263|0.39649999999999996|0.39480198019801976|0.2699999999999999|0.4126470588235293|0.4103086779266162
110|14|21|21|5|5|15|16|2|0.19837662337662337|0.3558441558441558|0.354997854997855|0.28909090909090907|0.3899999999999999|0.3814752252252252
120|15|21|21|5|6|14|14|0|0.18833333333333335|0.3220238095238095|0.3215269578905942|0.29583333333333334|0.356547619047619|0.3547815820543093
130|20|26|26|5|7|15|15|0|0.17576923076923076|0.29556213017751476|0.29594832648267755|0.26263736263736265|0.3317948717948717|0.33027989821882947
140|18|26|26|5|9|17|17|1|0.208531746031746|0.2924450549450549|0.29282596835788327|0.28571428571428575|0.32436974789915973|0.3235294117647059
150|15|24|24|5|10|17|17|1|0.24044444444444446|0.2870833333333334|0.28738962472406177|0.29100000000000004|0.313921568627451|0.3132060771328399
160|15|25|25|5|11|18|19|2|0.2504166666666666|0.2835|0.2839751552795031|0.28181818181818186|0.304513888888889|0.3015691402419092
170|19|25|25|5|8|21|21|4|0.19736842105263153|0.2825882352941176|0.2830409356725146|0.29632352941176465|0.2956582633053221|0.2957393483709273
180|20|25|25|5|8|19|19|4|0.19402777777777774|0.2743333333333333|0.27480662983425413|0.28680555555555554|0.29064327485380115|0.2909275952311718
190|20|26|26|5|11|19|19|4|0.1978947368421052|0.2744939271255061|0.2749697946033025|0.24545454545454543|0.2905817174515235|0.29085147423532653
200|25|34|34|5|13|20|20|5|0.1616|0.25566176470588237|0.25629206906643254|0.2307692307692308|0.278625|0.27910447761194035
210|28|32|32|5|12|25|25|5|0.13877551020408166|0.2526785714285714|0.253332345971564|0.22718253968253974|0.26171428571428573|0.26236966824644553
220|26|34|34|5|12|26|26|5|0.14860139860139857|0.24518716577540112|0.2458743678466862|0.22632575757575757|0.25236013986013983|0.25304559693699963
230|27|36|36|5|17|25|25|2|0.15152979066022546|0.23852657004830913|0.23923761423761425|0.18964194373401538|0.25052173913043485|0.25090909090909097
240|24|40|40|5|20|24|24|2|0.16935763888888886|0.23041666666666666|0.2311721991701245|0.18468749999999998|0.24939236111111107|0.24974066390041494
250|24|40|40|5|15|24|24|2|0.1684166666666667|0.22930000000000011|0.23002988047808764|0.20360000000000006|0.249|0.24933598937582999
260|24|40|40|5|18|23|23|2|0.17115384615384613|0.22879807692307694|0.2295019157088123|0.19412393162393166|0.2526755852842809|0.25295685490588043
270|24|40|40|5|18|25|25|2|0.1719135802469136|0.2225925925925925|0.22329335793357927|0.19578189300411525|0.2428888888888889|0.24309963099630993
280|29|40|40|5|18|28|28|2|0.14384236453201968|0.21790178571428576|0.21859430604982205|0.19692460317460317|0.23207908163265314|0.23239705134722932
290|27|40|40|5|19|27|27|2|0.15472541507024268|0.21547413793103454|0.21615120274914087|0.1921052631578947|0.23295019157088123|0.2332315133002419
300|25|41|41|5|18|27|27|2|0.16626666666666665|0.21186991869918692|0.21250303865164896|0.2008333333333333|0.23|0.23028177679340467
310|25|43|43|5|18|30|30|5|0.16380645161290328|0.20390097524381096|0.2045539519928214|0.19820788530465958|0.22069892473118277|0.22122186495176846
320|25|44|44|5|21|30|30|5|0.16231250000000003|0.19595170454545452|0.19661568960634382|0.18095238095238098|0.214375|0.2149013499480789
330|30|43|43|5|18|33|33|5|0.13525252525252526|0.19862579281183929|0.19922012225110658|0.18897306397306393|0.2119375573921028|0.21248741188318226
