k|ST|CSTwo|CSTwi|CF|ST_sig|CSTwo_sig|CSTwi_sig|CF_sig|ST_delta|CSTwo_delta|CSTwi_delta|ST_delta_sig|CSTwo_delta_sig|CSTwi_delta_sig
1|7|198|245|231|7|198|184|184|1.0|1.0|0.8755102040816326|1.0|1.0|1.0
15|33|256|286|231|28|244|244|190|0.42424242424242425|0.75078125|0.680506993006993|0.47380952380952385|0.7841530054644811|0.7838114754098361
30|51|309|309|231|28|301|301|231|0.311111111111111|0.6416396979503775|0.6450568952917843|0.47261904761904766|0.6578073089700995|0.661343907405423
50|61|337|337|231|45|323|323|231|0.2881967213114754|0.5460534124629083|0.5487868737999647|0.36666666666666664|0.5681733746130034|0.5710556668487825
60|62|356|356|231|46|349|349|231|0.2771505376344086|0.49981273408239685|0.5022564008104625|0.35833333333333334|0.5092168099331421|0.5117196674338862
70|63|369|369|231|47|365|365|231|0.26825396825396824|0.473132017034456|0.47528531623344344|0.3489361702127659|0.47812133072407037|0.4803009839861079
80|63|383|383|231|47|377|377|231|0.26726190476190487|0.44742167101827657|0.4493440350707543|0.34946808510638316|0.4543435013262597|0.45629891606903145
90|59|392|392|231|47|383|383|231|0.28738229755178907|0.4266439909297054|0.42843126261493647|0.3524822695035461|0.43640847113432|0.4382406105643708
100|64|400|400|231|47|391|391|231|0.26843749999999994|0.4067250000000003|0.4084158415841584|0.35468085106382974|0.41585677749360633|0.4175888177052998
110|64|410|410|231|46|402|402|231|0.2713068181818183|0.38864745011086477|0.3902219292463198|0.36462450592885387|0.3961555857078245|0.39776343507686823
120|67|410|410|231|48|402|402|231|0.25099502487562186|0.3789837398373981|0.38050796210441457|0.33993055555555557|0.3863184079601987|0.38787467620574817
130|67|417|417|231|51|408|408|231|0.24144661308840404|0.36500645637336304|0.3664488256722862|0.3095022624434388|0.3727752639517348|0.3742516090405624
140|71|429|429|231|51|424|424|231|0.22253521126760556|0.34810189810189845|0.349451966473243|0.3004201680672268|0.3520889487870624|0.3534557741201659
150|73|437|437|231|56|431|431|231|0.21251141552511427|0.3358962623951182|0.33717247336596534|0.2723809523809525|0.3404485692188708|0.3417433659593423
160|74|438|438|231|57|432|432|231|0.210304054054054|0.33136415525114193|0.33258175217674935|0.26864035087719296|0.33585069444444476|0.3370859213250519
170|74|453|453|231|57|447|447|231|0.20961844197138305|0.3170367484742241|0.3181648012599573|0.2672858617131062|0.3211869982892485|0.3223308083781424
180|78|466|466|231|57|460|460|231|0.1952991452991453|0.3044945159752028|0.3055509449173642|0.2608187134502924|0.30833333333333346|0.3094042757626711
190|76|467|467|231|58|466|466|231|0.1999307479224377|0.2987152034261241|0.299741022680135|0.2557168784029039|0.2993449288457194|0.3003730085612206
200|75|476|476|231|60|475|475|231|0.20126666666666668|0.2864285714285715|0.28741795225552874|0.24708333333333338|0.287021052631579|0.28801256873527065
210|79|476|476|231|62|475|475|231|0.18963230861965036|0.2808723489395758|0.28184117248795243|0.23725038402457757|0.28145363408521296|0.2824245447742578
220|80|483|483|231|62|475|475|231|0.1884090909090909|0.27093920572181435|0.2718773127980296|0.23848973607038124|0.2754258373205741|0.27638009049773826
230|86|487|487|231|61|479|479|231|0.17765419615773506|0.2645567360057131|0.2654648568406267|0.2441197434069851|0.268902605064899|0.2698262071957268
240|79|497|497|231|64|489|489|231|0.193512658227848|0.25642186452045634|0.25728645733321165|0.2351562499999999|0.2605487389229723|0.26142775925124595
250|78|503|503|231|61|494|494|231|0.19630769230769238|0.24704572564612312|0.24789113922045425|0.24622950819672143|0.2514736842105261|0.25233479039308354
