k|ST|CSTwo|CSTwi|CF|ST_sig|CSTwo_sig|CSTwi_sig|CF_sig
1|0.2|5.65|6.99|6.59|0.2|5.65|5.25|5.25
15|0.94|7.3|8.16|6.59|0.8|6.96|6.96|5.42
30|1.45|8.81|8.81|6.59|0.8|8.59|8.59|6.59
50|1.74|9.61|9.61|6.59|1.28|9.21|9.21|6.59
60|1.77|10.15|10.15|6.59|1.31|9.95|9.95|6.59
70|1.8|10.52|10.52|6.59|1.34|10.41|10.41|6.59
80|1.8|10.92|10.92|6.59|1.34|10.75|10.75|6.59
90|1.68|11.18|11.18|6.59|1.34|10.92|10.92|6.59
100|1.83|11.41|11.41|6.59|1.34|11.15|11.15|6.59
110|1.83|11.69|11.69|6.59|1.31|11.47|11.47|6.59
120|1.91|11.69|11.69|6.59|1.37|11.47|11.47|6.59
130|1.91|11.89|11.89|6.59|1.45|11.64|11.64|6.59
140|2.03|12.24|12.24|6.59|1.45|12.09|12.09|6.59
150|2.08|12.46|12.46|6.59|1.6|12.29|12.29|6.59
160|2.11|12.49|12.49|6.59|1.63|12.32|12.32|6.59
170|2.11|12.92|12.92|6.59|1.63|12.75|12.75|6.59
180|2.22|13.29|13.29|6.59|1.63|13.12|13.12|6.59
190|2.17|13.32|13.32|6.59|1.65|13.29|13.29|6.59
200|2.14|13.58|13.58|6.59|1.71|13.55|13.55|6.59
210|2.25|13.58|13.58|6.59|1.77|13.55|13.55|6.59
220|2.28|13.78|13.78|6.59|1.77|13.55|13.55|6.59
230|2.45|13.89|13.89|6.59|1.74|13.66|13.66|6.59
240|2.25|14.18|14.18|6.59|1.83|13.95|13.95|6.59
250|2.22|14.35|14.35|6.59|1.74|14.09|14.09|6.59
260|2.28|14.35|14.35|6.59|1.74|14.09|14.09|6.59
270|2.28|14.55|14.55|6.59|1.83|14.29|14.29|6.59
280|2.37|14.77|14.77|6.59|1.85|14.38|14.38|6.59
290|2.4|14.86|14.86|6.59|1.8|14.46|14.46|6.59
300|2.28|15.17|15.17|6.59|1.8|14.8|14.8|6.59
310|2.31|15.2|15.2|6.59|1.85|14.95|14.95|6.59
320|2.4|15.2|15.2|6.59|1.91|14.95|14.95|6.59
330|2.51|15.29|15.29|6.59|1.94|14.69|14.69|6.59
340|2.51|15.06|15.06|6.59|1.97|14.69|14.69|6.59
350|2.68|15.06|15.06|6.59|2.0|14.69|14.69|6.59
360|2.77|15.15|15.15|6.59|2.0|14.77|14.77|6.59
370|2.77|15.17|15.17|6.59|2.0|14.95|14.95|6.59
380|2.77|15.17|15.17|6.59|2.11|14.95|14.95|6.59
390|2.8|15.63|15.63|6.59|2.28|15.17|15.17|6.59
400|2.8|16.0|16.0|6.59|2.42|15.46|15.46|6.59
410|2.8|16.23|16.23|6.59|2.4|15.66|15.66|6.59
420|2.82|16.4|16.4|6.59|2.28|15.97|15.97|6.59
430|2.91|16.51|16.51|6.59|2.25|15.92|15.92|6.59
440|2.91|16.69|16.69|6.59|2.22|15.94|15.94|6.59
450|2.91|16.97|16.97|6.59|2.22|16.12|16.12|6.59
460|2.94|16.97|16.97|6.59|2.22|16.4|16.4|6.59
470|3.05|17.03|17.03|6.59|2.25|16.54|16.54|6.59
480|3.05|17.03|17.03|6.59|2.34|16.54|16.54|6.59
490|3.05|17.26|17.26|6.59|2.4|16.71|16.71|6.59
500|3.08|17.26|17.26|6.59|2.4|16.66|16.66|6.59
