|k|ST|CSTwo|CSTwi|CF|ST_sig|CSTwo_sig|CSTwi_sig|CF_sig
0|15|55|288|420|376|44|272|272|241
1|30|65|313|434|376|57|306|307|253
2|50|84|342|453|376|65|331|334|265
3|100|107|395|480|376|85|383|385|288
4|250|204|534|557|376|148|519|520|352
|k|ST|CSTwo|CSTwi|CF|ST_sig|CSTwo_sig|CSTwi_sig|CF_sig
0|15|3.21|16.82|24.53|21.96|2.57|15.89|15.89|14.08
1|30|3.8|18.28|25.35|21.96|3.33|17.87|17.93|14.78
2|50|4.91|19.98|26.46|21.96|3.8|19.33|19.51|15.48
3|100|6.25|23.07|28.04|21.96|4.96|22.37|22.49|16.82
4|250|11.92|31.19|32.54|21.96|8.64|30.32|30.37|20.56
