"LSAT"|"sex"|"race_nonwhite"|"lsat0"|"weighted_sense_cols"|"weighted_u"|"pred_LSAT"
"2"|36|"Female"|"White"|1.82535438840156|1.78796203355344|1.65701156228134e-05|37.0894659289537
"14"|35|"Male"|"White"|1.82535438840156|1.80264037991559|-1.9060791162723e-06|37.6371977130046
"33"|32|"Male"|"White"|1.82535438840156|1.80264037991559|2.39872207167255e-06|37.6373597340068
"51"|36|"Female"|"White"|1.82535438840156|1.78796203355344|1.0591392611329e-05|37.0892441819731
"57"|33|"Female"|"White"|1.82535438840156|1.78796203355344|6.02429158411762e-06|37.0890747920347
"78"|34|"Female"|"White"|1.82535438840156|1.78796203355344|4.70909848303081e-06|37.0890260127715
"96"|42|"Female"|"White"|1.82535438840156|1.78796203355344|5.86259843474456e-06|37.0890687949859
"122"|45|"Female"|"White"|1.82535438840156|1.78796203355344|3.94371885305242e-06|37.0889976255974
"155"|40|"Male"|"White"|1.82535438840156|1.80264037991559|9.13415238210531e-06|37.6376132386741
"159"|38|"Female"|"White"|1.82535438840156|1.78796203355344|-5.87864702026205e-06|37.088633325682
"164"|37|"Male"|"White"|1.82535438840156|1.80264037991559|3.49216787953948e-06|37.6374008884425
"166"|31|"Female"|"NonWhite"|1.82535438840156|1.6516149491173|-1.63212916996929e-06|32.3614437153367
"172"|29|"Male"|"White"|1.82535438840156|1.80264037991559|-4.62260570470954e-06|37.6370954706952
"174"|39|"Male"|"White"|1.82535438840156|1.80264037991559|-1.23875161903218e-05|37.6368032231526
"183"|32|"Female"|"NonWhite"|1.82535438840156|1.6516149491173|2.77352622586285e-06|32.3615862890199
"188"|33|"Male"|"White"|1.82535438840156|1.80264037991559|-5.7552581421125e-06|37.6370528409714
"200"|30|"Female"|"White"|1.82535438840156|1.78796203355344|7.56015147202386e-06|37.0891317557007
"209"|29|"Female"|"White"|1.82535438840156|1.78796203355344|-5.82819855475252e-06|37.0886351967466
"215"|38|"Female"|"White"|1.82535438840156|1.78796203355344|3.78235171989731e-06|37.0889916406526
"217"|34|"Male"|"White"|1.82535438840156|1.80264037991559|1.09166207573802e-05|37.6376803265892
"224"|33|"Female"|"White"|1.82535438840156|1.78796203355344|-7.17523784017115e-06|37.0885852369316
"225"|37|"Female"|"White"|1.82535438840156|1.78796203355344|1.28440325773747e-06|37.0888989943787
"228"|34|"Male"|"White"|1.82535438840156|1.80264037991559|7.58665145033364e-06|37.6375549944776
