"UGPA"|"sex"|"race_nonwhite"|"ugpa0"|"weighted_sense_cols"|"weighted_u"|"pred_UGPA"
"2"|3|"Female"|"White"|1.58332359151179|1.74672299629509|-0.000185820062573472|3.3298607677443
"14"|2.9|"Male"|"White"|1.58332359151179|1.63425504799552|-0.000444867171183559|3.21713377233612
"33"|3.4|"Male"|"White"|1.58332359151179|1.63425504799552|0.000598096424984798|3.21817673593229
"51"|3.4|"Female"|"White"|1.58332359151179|1.74672299629509|0.000261222061767676|3.33030780986864
"57"|3.3|"Female"|"White"|1.58332359151179|1.74672299629509|-2.2933941618564e-05|3.33002365386525
"78"|2.8|"Female"|"White"|1.58332359151179|1.74672299629509|-0.00106589360199271|3.32898069420488
"96"|3.3|"Female"|"White"|1.58332359151179|1.74672299629509|-0.000182274020868522|3.329864313786
"122"|3.3|"Female"|"White"|1.58332359151179|1.74672299629509|-0.000184071628078338|3.32986251617879
"155"|3.2|"Male"|"White"|1.58332359151179|1.63425504799552|0.000234816289921975|3.21781345579723
"159"|3.4|"Female"|"White"|1.58332359151179|1.74672299629509|0.000100623934124173|3.330147211741
"164"|3.7|"Male"|"White"|1.58332359151179|1.63425504799552|0.000667886650372512|3.21824652615768
"166"|3.4|"Female"|"NonWhite"|1.58332359151179|1.51887697593438|0.000477443037780443|3.10267801048394
"172"|3.5|"Male"|"White"|1.58332359151179|1.63425504799552|0.00084634145997926|3.21842498096729
"174"|3.8|"Male"|"White"|1.58332359151179|1.63425504799552|0.00033519580178771|3.21791383530909
"183"|3.7|"Female"|"NonWhite"|1.58332359151179|1.51887697593438|0.00121042258200043|3.10341099002816
"188"|3|"Male"|"White"|1.58332359151179|1.63425504799552|-0.000527890021084556|3.21705074948622
"200"|3|"Female"|"White"|1.58332359151179|1.74672299629509|-0.00118611167612602|3.32886047613075
"209"|3.4|"Female"|"White"|1.58332359151179|1.74672299629509|0.000138235125001159|3.33018482293187
"215"|3|"Female"|"White"|1.58332359151179|1.74672299629509|-0.000551968206469037|3.3294946196004
"217"|2.6|"Male"|"White"|1.58332359151179|1.63425504799552|-0.00143836146246929|3.21614027804484
"224"|3.2|"Female"|"White"|1.58332359151179|1.74672299629509|-0.000346830137297742|3.32969975766958
"225"|2.9|"Female"|"White"|1.58332359151179|1.74672299629509|-0.000817424879600667|3.32922916292727
"228"|2.7|"Male"|"White"|1.58332359151179|1.63425504799552|-0.000967096164395636|3.21661154334291
