"LSAT"|"UGPA"|"female"|"male"|"white"|"nonwhite"|"U_UGPA"|"U_LSAT"
"2"|36|3|1|0|1|0|-0.203195440627004|0.00877508402673742
"3"|30|3.1|0|1|1|0|-0.0965710978916984|-0.0120093163464354
"4"|39|2.2|0|1|0|1|-0.538229006284844|0.00443545633431111
"5"|37|3.4|1|0|1|0|0.0536398857041714|0.0405638625658274
"6"|30|3.6|1|0|1|0|0.202626527727234|-0.0634017164404597
"7"|36|3.6|0|1|1|0|0.312470869132332|0.0097095239805201
"8"|37|2.7|0|1|1|0|-0.36945445807054|0.0499162844632642
"11"|41|3.2|0|1|1|0|-0.0200749370932561|0.0671244294835988
"12"|35|3.1|0|1|1|0|-0.134452687587373|-0.0574715008663473
"15"|41|2.3|0|1|1|0|-0.705336441555189|-0.0202555728531706
"22"|30|3.1|0|1|1|0|-0.111663375208066|0.0508438370858119
"25"|37|3.6|1|0|1|0|0.192994951359278|-0.0025689964678842
"30"|36|2.6|0|1|1|0|-0.366872170540344|0.045541809853324
"34"|36|2.7|1|0|1|0|-0.523212080123574|-0.0189161835197632
"38"|36|3.6|0|1|1|0|0.23142449592575|-0.0308447225442346
"42"|19|3.2|1|0|0|1|0.0384150173462387|0.039791255242772
"46"|36|2.8|0|1|1|0|-0.221879578531418|0.0573329885236062
"47"|32|3|0|1|0|1|-0.0401723508106477|0.0165376183419344
"48"|38|3.7|1|0|1|0|0.301960209914956|0.025084878673384
"50"|38|2.8|0|1|1|0|-0.296800079088709|0.00682711496978479
"51"|36|3.4|1|0|1|0|0.101313768332093|0.0222964747303401
"54"|31|3.7|0|1|1|0|0.392885738160079|-0.0234276198853271
"55"|23|2.6|1|0|0|1|-0.330670863054515|0.0314237873021142
"57"|33|3.3|1|0|1|0|0.00841888052183207|-0.0551640850395689
"58"|35|3.3|0|1|1|0|0.0478812978510727|-0.00368408604833951
"64"|29|3.3|0|1|1|0|0.103004925216401|0.0161306503882139
"66"|32|2.9|0|1|1|0|-0.263928878902019|0.0469185273176139
"69"|39|3.4|1|0|1|0|0.0735381983466426|0.00999600088067099
"70"|39|3|1|0|1|0|-0.276740995567735|-0.00328295885924001
"71"|32|3.8|1|0|1|0|0.300676054039096|0.0911784571058325
"72"|29|3.3|0|1|1|0|0.13250581958907|-0.00793360166698427
"73"|31|3|0|1|1|0|-0.153275318421695|0.00523169388662103
